title,instructor,description,type,difficulty,num_reviews,rating,price,url
The Ultimate Drawing Course - Beginner to Advanced,"['Jaysen Batchelor', 'Quinton Batchelor']","Learn the #1 most important building block of all art, Drawing. This course will teach you how to draw like a pro!",design,Beginner,"(113,030)",4.6,True,https://www.udemy.com/course/the-ultimate-drawing-course-beginner-to-advanced/
Character Art School: Complete Character Drawing Course,['Scott Harris'],"Learn How to Draw People and Character Drawings Professionally, Drawing for Animation, Comics, Cartoons, Games and More!",design,All Levels,"(60,120)",4.6,True,https://www.udemy.com/course/character-art-school-complete-character-drawing/
Complete Blender Creator: Learn 3D Modelling for Beginners,"['GameDev.tv Team', 'Rick Davidson', 'Grant Abbitt']","Use Blender to Create Beautiful 3D models for Video Games, 3D Printing & More. Beginners Level Course",design,All Levels,"(51,079)",4.7,True,https://www.udemy.com/course/blendertutorial/
Design Thinking in 3 Steps,"['Designit Strategic Design', 'Alan Cooper']","Understand your audience, envision a creative solution, and test your prototype",design,All Levels,"(42,256)",4.3,True,https://www.udemy.com/course/designit-design-thinking/
User Experience Design Essentials - Adobe XD UI UX Design,['Daniel Walter Scott'],"Use XD to get a job in UI Design, User Interface, User Experience design, UX design & Web Design",design,All Levels,"(38,982)",4.6,True,https://www.udemy.com/course/ui-ux-web-design-using-adobe-xd/
Graphic Design Masterclass - Learn GREAT Design,['Lindsay Marsh'],"The Ultimate Graphic Design Course Which Covers Photoshop, Illustrator, InDesign,Design Theory, Branding and Logo Design",design,Beginner,"(38,046)",4.7,True,https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/
Illustrator 2022 MasterClass,['Martin Perhiniak'],Master Adobe Illustrator with this in-depth training for all levels.,design,All Levels,"(31,102)",4.6,True,https://www.udemy.com/course/illustrator-cc-masterclass/
Adobe After Effects: Complete Course from Novice to Expert,['Louay Zambarakji'],"Adobe After Effects CC Create stunning Motion Graphics, VFX Visual Effects & VFX Compositing with 50+ practice projects.",design,All Levels,"(27,288)",4.7,True,https://www.udemy.com/course/after-effects-kinetic-typography/
Ultimate Adobe Photoshop Training: From Beginner to Pro 2022,['Cristian Doru Barin'],Master Adobe Photoshop CC 2022 without any previous knowledge with this easy-to-follow course,design,All Levels,"(26,021)",4.7,True,https://www.udemy.com/course/ultimate-photoshop-training-from-beginner-to-pro/
Adobe Photoshop CC – Essentials Training Course,['Daniel Walter Scott'],This Adobe Photoshop Essentials course will teach you Photoshop Retouching as well as Photoshop for graphic design.,design,Beginner,"(25,362)",4.7,True,https://www.udemy.com/course/adobe-photoshop-cc-essentials-training-course/
Wordpress for Beginners - Master Wordpress Quickly,['Andrew Williams'],"In 2022, build a beautiful responsive Wordpress site that looks great on all devices.  No experience required.",design,Beginner,"(23,173)",4.6,True,https://www.udemy.com/course/wordpress-for-beginners-course/
Web Design for Beginners: Real World Coding in HTML & CSS,['Brad Schiff'],"Launch a career as a web designer by learning HTML5, CSS3, responsive design, Sass and more!",design,All Levels,"(20,654)",4.6,True,https://www.udemy.com/course/web-design-for-beginners-real-world-coding-in-html-css/
The complete AutoCAD 2018-21 course,['Jaiprakash Pandey'],A complete course for learning AutoCAD from scratch to professional level,design,Beginner,"(20,521)",4.6,True,https://www.udemy.com/course/autocad-2018-course/
Adobe Illustrator CC - Essentials Training Course,"['Video School', 'Phil Ebiner', 'Daniel Walter Scott']","Learn Adobe Illustrator CC graphic design, logo design, and more with this in-depth, practical, easy-to-follow course!",design,Beginner,"(20,312)",4.7,True,https://www.udemy.com/course/adobe-illustrator-course/
Adobe Photoshop CC: A Beginner to Advanced Photoshop Course,"['Phil Ebiner', 'Video School']","You can learn Adobe Photoshop CC. Graphic Design, Photo Editing & Retouching,  Learn it all with this Photoshop class.",design,Beginner,"(19,675)",4.7,True,https://www.udemy.com/course/adobe-photoshop-course/
"Graphic Design Bootcamp: Photoshop, Illustrator, InDesign",['Derrick Mitchell'],"Bestselling Beginner Course! Use Photoshop, Illustrator, & InDesign for logo design, web design, poster design, and more",design,Beginner,"(15,428)",4.4,True,https://www.udemy.com/course/graphic-design-for-beginners/
