title,instructor,description,type,difficulty,num_reviews,rating,price,url
2022 Complete Python Bootcamp From Zero to Hero in Python,['Jose Portilla'],Learn Python like a Professional  Start from the basics and go all the way to creating your own applications and games,development,All Levels,"(412,149)",4.6,True,https://www.udemy.com/course/complete-python-bootcamp/
The Web Developer Bootcamp 2022,['Colt Steele'],"COMPLETELY REDONE - The only course you need to learn web development - HTML, CSS, JS, Node, and More!",development,All Levels,"(232,314)",4.7,True,https://www.udemy.com/course/the-web-developer-bootcamp/
The Complete 2022 Web Development Bootcamp,['Dr. Angela Yu'],"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps",development,All Levels,"(182,822)",4.7,True,https://www.udemy.com/course/the-complete-web-development-bootcamp/
Angular - The Complete Guide (2022 Edition),['Maximilian Schwarzmüller'],"Master Angular 13 (formerly ""Angular 2"") and build awesome, reactive web apps with the successor of Angular.js",development,All Levels,"(163,193)",4.6,True,https://www.udemy.com/course/the-complete-guide-to-angular-2/
Java Programming Masterclass covering Java 11 & Java 17,"['Tim Buchalka', ""Tim Buchalka's Learn Programming Academy""]",Learn Java In This Course And Become a Computer Programmer. Obtain valuable Core Java Skills And Java Certification,development,All Levels,"(159,525)",4.6,True,https://www.udemy.com/course/java-the-complete-java-developer-course/
Machine Learning A-Z™: Hands-On Python & R In Data Science,"['Kirill Eremenko', 'Hadelin de Ponteves', 'Ligency I Team', 'SuperDataScience Support', 'Ligency Team']",Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,development,All Levels,"(157,643)",4.5,True,https://www.udemy.com/course/machinelearning/
"React - The Complete Guide (incl Hooks, React Router, Redux)","['Academind by Maximilian Schwarzmüller', 'Maximilian Schwarzmüller']","Dive in and learn React.js from scratch! Learn Reactjs, Hooks, Redux, React Routing, Animations, Next.js and way more!",development,All Levels,"(145,171)",4.6,True,https://www.udemy.com/course/react-the-complete-guide-incl-redux/
The Complete JavaScript Course 2022: From Zero to Expert!,['Jonas Schmedtmann'],"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",development,All Levels,"(134,910)",4.7,True,https://www.udemy.com/course/the-complete-javascript-course/
Python for Data Science and Machine Learning Bootcamp,['Jose Portilla'],"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",development,All Levels,"(113,264)",4.6,True,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/
The Data Science Course 2022: Complete Data Science Bootcamp,"['365 Careers', '365 Careers Team']","Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",development,All Levels,"(105,776)",4.6,True,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/
Automate the Boring Stuff with Python Programming,['Al Sweigart'],"A practical programming course for office workers, academics, and administrators who want to improve their productivity.",development,All Levels,"(99,493)",4.7,True,https://www.udemy.com/course/automate/
100 Days of Code: The Complete Python Pro Bootcamp for 2022,['Dr. Angela Yu'],"Master Python by building 100 projects in 100 days. Learn data science, automation, build websites, games and apps!",development,All Levels,"(98,189)",4.7,True,https://www.udemy.com/course/100-days-of-code/
Complete C# Unity Game Developer 2D,"['GameDev.tv Team', 'Rick Davidson', 'Gary Pettie']","Learn Unity in C# & Code Your First Five 2D Video Games for Web, Mac & PC. The Tutorials Cover Tilemap",development,All Levels,"(92,465)",4.7,True,https://www.udemy.com/course/unitycourse/
Learn Python Programming Masterclass,"['Tim Buchalka', 'Jean-Paul Roberts', ""Tim Buchalka's Learn Programming Academy""]",This Python For Beginners Course Teaches You The Python Language  Fast.  Includes Python Online Training With Python 3,development,All Levels,"(88,658)",4.6,True,https://www.udemy.com/course/python-the-complete-python-developer-course/
Selenium WebDriver with Java -Basics to Advanced+Frameworks,['Rahul Shetty'],"""TOP RATED (BEST SELLER) #1 Master SELENIUM java course"" -5 Million students learning worldWide with great collaboration",development,All Levels,"(78,483)",4.6,True,https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/
Modern React with Redux,['Stephen Grider'],"Master React and Redux with React Router, Webpack, and Create-React-App.  Includes Hooks!",development,All Levels,"(74,460)",4.7,True,https://www.udemy.com/course/react-redux/
