title,instructor,description,type,difficulty,num_reviews,rating,price,url
The Complete Financial Analyst Course 2022,['365 Careers'],"Excel, Accounting, Financial Statement Analysis, Business Analysis, Financial Math, PowerPoint: Everything is Included!",finance-and-accounting,All Levels,"(65,487)",4.6,True,https://www.udemy.com/course/the-complete-financial-analyst-course/
The Complete Foundation Stock Trading Course,"['Mohsen Hassan', 'bloom team']","Learn To Trade The Stock Market. #1 Trading course. Inc: Technical Analysis, Candlesticks, Stocks, Day Trading +++",finance-and-accounting,All Levels,"(42,830)",4.6,True,https://www.udemy.com/course/foundation-course/
Beginner to Pro in Excel: Financial Modeling and Valuation,['365 Careers'],Financial Modeling in Excel that would allow you to walk into a job and be a rockstar from day one!,finance-and-accounting,All Levels,"(39,870)",4.6,True,https://www.udemy.com/course/beginner-to-pro-in-excel-financial-modeling-and-valuation/
Blockchain and Bitcoin Fundamentals,['George Levy'],Learn the key elements of blockchain and Bitcoin in this bestselling video course and accompanying PDF glossary.,finance-and-accounting,Beginner,"(32,809)",4.6,True,https://www.udemy.com/course/blockchain-and-bitcoin-fundamentals/
Investing In Stocks  The Complete Course! (14 Hour),"['Steve Ballinger', 'MBA']",Master Stock Market Investing & Trading in the Stock Market. Top Instructor & Millionaire Investor. Investing & Trading,finance-and-accounting,All Levels,"(31,269)",4.5,True,https://www.udemy.com/course/investing-in-stocks/
The Complete Financial Analyst Training & Investing Course,['Chris Haroun'],"Succeed as a Financial Analyst &Investor by Award Winning MBA Prof who worked @Goldman, in Hedge Funds & Venture Capital",finance-and-accounting,All Levels,"(28,609)",4.5,True,https://www.udemy.com/course/the-complete-financial-analyst-training-and-investing-course/
The Complete Investment Banking Course 2022,['365 Careers'],"The #1 Course to Land a Job in Investment Banking. IPOs, Bonds, M&A, Trading, LBOs, Valuation: Everything  is included!",finance-and-accounting,All Levels,"(28,527)",4.5,True,https://www.udemy.com/course/the-complete-investment-banking-course-2016/
"Introduction to Finance, Accounting, Modeling and Valuation",['Chris Haroun'],"Learn Finance & Accounting from Scratch by an Award Winning MBA Professor, Ivy Grad, worked @ Goldman & VC",finance-and-accounting,All Levels,"(25,608)",4.5,True,https://www.udemy.com/course/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/
Python for Finance: Investment Fundamentals & Data Analytics,['365 Careers'],Learn Python Programming and Conduct Real-World Financial Analysis in Python - Complete Python Training,finance-and-accounting,All Levels,"(24,092)",4.6,True,https://www.udemy.com/course/python-for-finance-investment-fundamentals-data-analytics/
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,"['Kirill Eremenko', 'ForexBoat Team']",Forex Trading - Beginners and Experienced - Learn trading by Doing! Live examples: Forex with Real Money in Metatrader 4,finance-and-accounting,Beginner,"(20,110)",4.6,True,https://www.udemy.com/course/forex-trading/
Cryptocurrency Investment Course 2022: Fund your Retirement!,['Suppoman ™'],"Complete A-Z Guide to Bitcoin, Blockchain, Ethereum, Altcoins, Metaverse, NFT, DeFi & Meme coins for your retirement!",finance-and-accounting,All Levels,"(19,027)",4.6,True,https://www.udemy.com/course/cryptocurrency/
Technical Analysis MasterClass:Trading By Technical Analysis,"['Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser )', 'Jyoti Bansal Analysis']","Stock Market Technical Analysis Secrets for Forex , Stock Trading , Options , Swing Trading & Day Trading + ASSIGNMENTS",finance-and-accounting,All Levels,"(17,492)",4.5,True,https://www.udemy.com/course/technical_analysis/
The Complete Cryptocurrency Course: More than 5 Courses in 1,['Chris Haroun'],"Learn everything you need to know about cryptocurrency and blockchain, including investing, mining and much more!",finance-and-accounting,All Levels,"(15,103)",4.6,True,https://www.udemy.com/course/the-complete-cryptocurrency-course-more-than-5-courses-in-1/
Advanced Stock Trading Course + Strategies,"['Mohsen Hassan', 'bloom team']","Learn To Trade The Stock Market. For: Stocks, Day Trading, Swing Trading and Financial Trading",finance-and-accounting,All Levels,"(11,881)",4.5,True,https://www.udemy.com/course/advanced-course-plus-strategies/
The Complete Foundation FOREX Trading Course,"['Mohsen Hassan', 'bloom team']","Learn To Trade The FOREX Market by A Trading Firm CEO. Inc: Technical Analysis, Candlesticks, Live Trading + much more",finance-and-accounting,All Levels,"(11,649)",4.6,True,https://www.udemy.com/course/the-complete-foundation-forex-trading-course/
Accounting in 60 Minutes - A Brief Introduction,['Vincent Turner'],Learn the very basics of accounting in just about an hour.,finance-and-accounting,Beginner,"(11,101)",4.5,True,https://www.udemy.com/course/accounting-in-60-minutes-a-brief-introduction/
