title,instructor,description,type,difficulty,num_reviews,rating,price,url
Ultimate AWS Certified Solutions Architect Associate 2022,"['Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer']",Full Practice Exam | Learn Cloud Computing | Pass the AWS Certified Solutions Architect Associate Certification SAA-C02!,it-and-software,All Levels,"(122,620)",4.7,True,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c02/
Learn Ethical Hacking From Scratch,"['Zaid Sabih', 'z Security']",Become an ethical hacker that can hack computer systems like black hat hackers and secure them like security experts.,it-and-software,All Levels,"(104,060)",4.6,True,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/
[NEW] Ultimate AWS Certified Cloud Practitioner - 2022,"['Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer']",Full Practice Exam included + explanations | Learn Cloud Computing | Pass the AWS Cloud Practitioner CLF-C01 exam!,it-and-software,Beginner,"(85,570)",4.7,True,https://www.udemy.com/course/aws-certified-cloud-practitioner-new/
TOTAL: CompTIA A+ Certification (220-1001).,"['Total Seminars • 900,000+ Enrollments', 'Mike Meyers']","Course 1: Everything you need to pass the A+ Certification Core 1 (220-1001) Exam, from Mike Meyers and Total Seminars.",it-and-software,Beginner,"(57,959)",4.7,True,https://www.udemy.com/course/new-comptia-a-2019-certification-1001-the-total-course/
Ultimate AWS Certified Developer Associate 2022 - NEW!,"['Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer']",Full Practice Exam with Explanations included! PASS the Amazon Web Services Certified Developer Certification DVA-C01.,it-and-software,All Levels,"(57,837)",4.7,True,https://www.udemy.com/course/aws-certified-developer-associate-dva-c01/
AZ-900: Microsoft Azure Fundamentals Exam Prep - JAN 2022,"['Scott Duffy  • 700.000+ Students', 'Software Architect.ca']","Learn the fundamentals of Azure, and get certified, with this complete beginner's AZ-900 course, includes practice test!",it-and-software,Beginner,"(52,981)",4.5,True,https://www.udemy.com/course/az900-azure/
Kubernetes for the Absolute Beginners - Hands-on,"['Mumshad Mannambeth', 'KodeKloud Training']","Learn Kubernetes in simple, easy and fun way with hands-on coding exercises. For beginners in DevOps.",it-and-software,Beginner,"(45,183)",4.7,True,https://www.udemy.com/course/learn-kubernetes/
Microsoft Azure - Beginner's Guide + AZ-900 -  2022,['Alan Rodrigues'],Beginning your journey on Microsoft Azure,it-and-software,Beginner,"(42,715)",4.5,True,https://www.udemy.com/course/microsoft-azure-beginners-guide/
Cisco CCNA 200-301 – The Complete Guide to Getting Certified,['Neil Anderson'],The top rated CCNA course online and only one where all questions get a response. Full lab exercises included.,it-and-software,Beginner,"(41,990)",4.8,True,https://www.udemy.com/course/ccna-complete/
The Complete Cyber Security Course : Hackers Exposed!,['Nathan House'],"Volume 1 : Become a Cyber Security Specialist, Learn How to Stop Hackers, Prevent Hacking,  Learn IT Security &  INFOSEC",it-and-software,All Levels,"(41,839)",4.5,True,https://www.udemy.com/course/the-complete-internet-security-privacy-course-volume-1/
Certified Kubernetes Administrator (CKA) with Practice Tests,"['Mumshad Mannambeth', 'KodeKloud Training']",Prepare for the Certified Kubernetes Administrators Certification with live practice tests right in your browser - CKA,it-and-software,All Levels,"(38,472)",4.7,True,https://www.udemy.com/course/certified-kubernetes-administrator-with-practice-tests/
The Complete Networking Fundamentals Course. Your CCNA start,['David Bombal'],Learn about networking and start your journey to Cisco 200-301 Certification.,it-and-software,Beginner,"(34,253)",4.6,True,https://www.udemy.com/course/complete-networking-fundamentals-course-ccna-start/
Docker for the Absolute Beginner - Hands On - DevOps,"['Mumshad Mannambeth', 'KodeKloud Training']",Learn Docker with Hands On Coding Exercises. For beginners in DevOps,it-and-software,Beginner,"(33,455)",4.7,True,https://www.udemy.com/course/learn-docker/
The Complete Oracle SQL Certification Course,['Imtiaz Ahmad'],"Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",it-and-software,All Levels,"(33,371)",4.6,True,https://www.udemy.com/course/the-complete-oracle-sql-certification-course/
Learn Linux in 5 Days and Level Up Your Career,['Jason Cannon'],Use the in-demand Linux skills you learn in this course to get promoted or start a new career as a Linux professional.,it-and-software,All Levels,"(32,950)",4.5,True,https://www.udemy.com/course/learn-linux-in-5-days/
Blockchain and Bitcoin Fundamentals,['George Levy'],Learn the key elements of blockchain and Bitcoin in this bestselling video course and accompanying PDF glossary.,it-and-software,Beginner,"(32,809)",4.6,True,https://www.udemy.com/course/blockchain-and-bitcoin-fundamentals/
