title,instructor,description,type,difficulty,num_reviews,rating,price,url
"Reiki Level I, II and Master/Teacher Program",['Lisa Powers'],"Learn Reiki Levels 1, 2 and Master Level to become a Certified Traditional Usui Reiki Practitioner/Instructor",lifestyle,All Levels,"(47,937)",4.8,True,https://www.udemy.com/course/reikicourse/
"Reiki Level I, II and Master Certification - Energy Healing",['Melissa Crowhurst'],"Become a Certified Usui Reiki Practitioner - Heal Yourself, Family, Friends, Clients, Pets and More with Energy Healing!",lifestyle,All Levels,"(23,742)",4.8,True,https://www.udemy.com/course/reiki-master-certification-energy-healing/
The Art & Science of Drawing / BASIC SKILLS,['Brent Eviston'],Drawing is not a talent. It's a skill anyone can learn.,lifestyle,Beginner,"(11,435)",4.7,True,https://www.udemy.com/course/the-art-and-science-of-drawing/
Tarot Card Success - The Complete Tarot Reading Course,['Sal Jade'],TAROT CERTIFICATE COURSE! Master your Psychic Ability and Learn to Give Accurate Professional Level Tarot Card Readings,lifestyle,All Levels,"(10,178)",4.8,True,https://www.udemy.com/course/tarot-card-meaningshow-to-read-tarot-like-an-expert/
100% Official NLP Practitioner Certification iGNLP™ / ABNLP,"['Matthew Barnett', 'HeadgearLabs™ Personal & Professional Development']",NLP Get the only Genuine 100%  iGNLP™ & ABNLP Accredited - NLP Practitioner Certification Recognised Globally,lifestyle,All Levels,"(8,057)",4.7,True,https://www.udemy.com/course/nlp-practitioner-neuro-linguistic-programming-certification-abnlp/
Crystal Reiki Master/Teacher Certification,['Lisa Powers'],Step into your power and become a Certified Crystal Reiki Master,lifestyle,Expert,"(7,603)",4.8,True,https://www.udemy.com/course/crystal-reiki/
Animal Reiki Practitioner Certification,['Lisa Powers'],Learn how to use Reiki energy to help animals,lifestyle,All Levels,"(7,303)",4.7,True,https://www.udemy.com/course/animal-reiki-certification/
Your 7 Chakras : The Complete Guide to Your Energy Body,['James Seriph'],"Understand Your Chakras, Your Energy Body, and Heal the Areas of your life that need it!",lifestyle,All Levels,"(7,174)",4.7,True,https://www.udemy.com/course/the-chakra-system-master-class/
EFT  & TFT Tapping Practitioner Certification (ACCREDITED),['Graham Nicholls'],EFT & TFT Tapping Practitioner Certification - Discover the power of EFT & TFT Tapping in this Certification Course,lifestyle,Beginner,"(6,456)",4.7,True,https://www.udemy.com/course/eft-tft-tapping-practitioner-certification-beginner-pro-eft/
Counter-Strike: Global Offensive — Play Like a Pro,['Jordan Gilbert'],"n0thing helps level up your CS:GO game sense, mechanics, strategies, and overall best practices for competitive play.",lifestyle,All Levels,"(6,392)",4.8,True,https://www.udemy.com/course/counter-strike-global-offensive-play-like-a-pro/
How to Draw From Beginner to Master,['Joseph Patric Daniels'],Drawing and Shading From Fundamentals to Photorealism,lifestyle,All Levels,"(5,590)",4.8,True,https://www.udemy.com/course/how-to-draw-from-beginner-to-master/
How to Be Psychic - Psychic Development for Beginners,['Sal Jade'],CERTIFICATE COURSE: Tap into Your Natural Psychic Ability to Give Psychic Readings for Spiritual Guidance or Profit,lifestyle,All Levels,"(5,167)",4.6,True,https://www.udemy.com/course/how-to-be-psychic/
Professional Accredited Angelic Healing Practitioner  Course,['The Academy of Ancient Magik'],"Connect with the angelic realm,complete the training so that you can offer paid for healings as an Angel practitioner",lifestyle,All Levels,"(4,340)",4.8,True,https://www.udemy.com/course/angelic-healing-practitioner-certified-diploma-course/
NLP Practitioner & NLP Master Practitioner Cert (ACCREDITED),['Graham Nicholls'],A Comprehensive Combined NLP Practitioner & Master Practitioner Certification Course from Beginner to Expert level,lifestyle,All Levels,"(4,254)",4.6,True,https://www.udemy.com/course/nlp-practitioner-master-practitioner-certification-course/
Complete Hypnotherapy & Hypnosis Certification Diploma,['Dr Karen E Wells'],Fully Accredited Diploma Course. In depth & practical course giving you the skills to help others using Hypnotherapy.,lifestyle,All Levels,"(4,148)",4.5,True,https://www.udemy.com/course/complete-hypnotherapy-hypnosis-certification-course/
How To Make Soap - Homemade Soap Making for Beginners,"[""Shona O'Connor""]",How to make your own soap at home using the cold process soapmaking method. A step by step guide for beginners,lifestyle,Beginner,"(4,077)",4.5,True,https://www.udemy.com/course/how-to-make-soap/
