title,instructor,description,type,difficulty,num_reviews,rating,price,url
Microsoft Excel - Excel from Beginner to Advanced,"['Kyle Pew', 'Office Newb']","Excel with this A-Z Microsoft Excel Course. Microsoft Excel 2010, 2013, 2016, Excel 2019 and Microsoft/Office 365",office-productivity,All Levels,"(297,640)",4.7,True,https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/
Microsoft Excel - Advanced Excel Formulas & Functions,"['Maven Analytics', 'Chris Dutton']",Master 75+ MS Excel formulas and learn data analysis with a top Microsoft Excel & business intelligence instructor,office-productivity,All Levels,"(61,372)",4.7,True,https://www.udemy.com/course/excel-for-analysts/
Microsoft Excel - Data Analysis with Excel Pivot Tables,"['Maven Analytics', 'Chris Dutton']",Master Excel pivots & learn data analysis w/ advanced Excel cases from a top Excel & business intelligence instructor,office-productivity,All Levels,"(35,907)",4.6,True,https://www.udemy.com/course/data-analysis-with-excel-pivot-tables/
Unlock Excel VBA and Excel Macros,['Leila Gharani'],Automate Complex Tasks with Microsoft Excel VBA & Excel Macros (Real-World Projects included). Achieve More. Save time.,office-productivity,All Levels,"(32,201)",4.7,True,https://www.udemy.com/course/excel-vba-and-macros-course/
"Microsoft Excel - Data Visualization, Excel Charts & Graphs","['Maven Analytics', 'Chris Dutton']","Master 20+ Excel charts, build advanced Excel visuals & learn data analysis with a top Excel instructor (Excel 2016+)",office-productivity,All Levels,"(28,936)",4.6,True,https://www.udemy.com/course/advanced-excel-charts-graphs/
"Excel Essentials: The Complete Excel Series - Level 1, 2 & 3",['Alan Jarvis'],"Excel: The WHOLE Excel Mastery Series In One! From Excel Novice To VBA Programmer - Excel 2013, 2016, 2019 & Excel 365",office-productivity,All Levels,"(24,429)",4.6,True,https://www.udemy.com/course/excel-essentials-the-complete-series-levels-1-2-3/
Microsoft Excel - From Beginner to Expert in 6 Hours,['Todd McLeod'],This Microsoft Excel class will make you a master of Microsoft Excel. The training uses Excel 2013 for Windows.,office-productivity,All Levels,"(21,455)",4.6,True,https://www.udemy.com/course/thebestexcel/
Master Microsoft Word Beginner to Advanced,['Kyle Pew'],"Master the most popular Word Processing tool, Microsoft Word. Microsoft Word 2010, Word 2013, Word 2016, Word 2019",office-productivity,All Levels,"(18,214)",4.7,True,https://www.udemy.com/course/microsoft-word-from-beginner-to-advanced-and-beyond/
Microsoft Excel: Business Intelligence w/ Power Query & DAX,"['Maven Analytics', 'Chris Dutton']","Learn advanced Excel for data analysis & business intelligence (Power Query, Power Pivot & DAX language. Excel 2013+)",office-productivity,All Levels,"(16,558)",4.7,True,https://www.udemy.com/course/microsoft-excel-power-query-power-pivot-dax/
Master Microsoft Excel Macros and Excel VBA,['Kyle Pew'],Project Based Course on Excel VBA (Visual Basic for Applications) and Excel Macros,office-productivity,All Levels,"(16,389)",4.5,True,https://www.udemy.com/course/master-microsoft-excel-macros-and-vba-with-5-simple-projects/
Microsoft Project ALL: BEGINNER to EXPERT 10 Projects 9 PDU,['Srikanth Shirodkar'],Learn MS Project all version HANDS-ON with COMPLETE real life examples BONUS 125 project files FREE PMI approved 9 PDUs,office-productivity,All Levels,"(15,846)",4.5,True,https://www.udemy.com/course/microsoft-project-tutorial/
Visually Effective Excel Dashboards,['Leila Gharani'],Actionable Excel Tips (Templates Included) You Can Use Right Now to Create Eye-Catching Microsoft Excel Dashboards,office-productivity,All Levels,"(14,116)",4.7,True,https://www.udemy.com/course/excel-dashboards-reports/
Zero to Hero in Microsoft Excel: Complete Excel guide 2022,['Start-Tech Academy'],"A Beginner's Guide to Microsoft Excel - Learn Excel Charts, Spreadsheets, Formulas, Shortcuts, Macros and Tips & Tricks",office-productivity,All Levels,"(13,941)",4.5,True,https://www.udemy.com/course/excel-quick-start-guide-from-beginner-to-expert/
SAP Simplified for Absolute Beginners,['Ulrika Garner'],Easy to follow Introduction into SAP ERP,office-productivity,Beginner,"(13,793)",4.5,True,https://www.udemy.com/course/sap-simplified-for-absolute-beginners/
Powerpoint 2016 2019 365 - Master powerpoint presentation,['Andrew Pach'],"Complete Powerpoint Masterclass, 20+ powerpoint 365 presentation slides. Learn Microsoft Powerpoint beginner to advanced",office-productivity,All Levels,"(13,751)",4.7,True,https://www.udemy.com/course/case-study-powerpoint-2013-presentation-slide-by-slide/
Mastering Microsoft Teams - Bonus Content,['Bigger Brains'],"Become an expert at using Microsoft Teams to chat, collaborate, and get things done",office-productivity,All Levels,"(12,930)",4.5,True,https://www.udemy.com/course/mastering-microsoft-teams/
