title,instructor,description,type,difficulty,num_reviews,rating,price,url
Productivity and Time Management for the Overwhelmed,['Josh Paulsen'],A complete productivity and time management course designed to help you reduce your overwhelm and increase your results.,personal-development,All Levels,"(48,749)",4.5,True,https://www.udemy.com/course/productivity-and-time-management/
Become a SuperLearner® 2: Learn Speed Reading & Boost Memory,"['Jonathan Levi', 'Lev Goldentouch', 'Anna Goldentouch', 'SuperHuman Academy®']",The original course to learn faster & more easily using the skills of the worlds fastest readers & memory record holders,personal-development,All Levels,"(34,945)",4.5,True,https://www.udemy.com/course/become-a-superlearner-2-speed-reading-memory-accelerated-learning/
Life Coaching Certificate Course (Beginner to Intermediate),"['Kain Ramsay', 'The Academy of Modern Applied Psychology']",A comprehensive online training that delivers in-depth understanding of the key elements of the Life Coaching profession,personal-development,All Levels,"(34,223)",4.6,True,https://www.udemy.com/course/life-coaching-online-certification-course-life-coach-training/
"Time Management Mastery: Do More, Stress Less",['Alexis Haselberger'],"Take control of your time, your to-do list, and your overwhelm.  Learn how to get it all done, without the stress.",personal-development,All Levels,"(28,893)",4.5,True,https://www.udemy.com/course/do-more-stress-less/
Neuro-Linguistic Programming (NLP) Practitioner Certificate,"['Kain Ramsay', 'The Academy of Modern Applied Psychology']",Gain an in-depth understanding of Neuro-Linguistic Programming (NLP) for personal growth and professional excellence.,personal-development,All Levels,"(22,655)",4.6,True,https://www.udemy.com/course/nlp-practitioner-neuro-linguistic-programming-online-course/
Storytelling to Influence,['Jeff Tan'],How to use stories to influence decision makers in the audience!,personal-development,All Levels,"(22,489)",4.3,True,https://www.udemy.com/course/storytellingtoinfluence/
Productivity Machine: Time Management & Productivity Hacks,['Patrick Dang'],"Productivity & Time Management Strategies for Goal Setting, Eliminating Distractions, & Building Habits for Success.",personal-development,All Levels,"(21,596)",4.5,True,https://www.udemy.com/course/productivitymachine/
Psychology of Diversity and Unconscious Bias,"['Andrew Luttrell', 'Ph.D.']","Understand Stereotypes, Prejudice, and Discrimination and How to Reduce Their Influence at Work and Your Community",personal-development,All Levels,"(19,119)",4.5,True,https://www.udemy.com/course/psychology-diversity-unconscious-bias-discrimination/
Effective Email Communication: Enhancing Your Voice at Work,"['Anonymized User', 'Nikki Woodford']",Improving the Clarity and Effectiveness of Digital Communication,personal-development,Beginner,"(17,641)",4.4,True,https://www.udemy.com/course/effective-email-communication/
Stress Management: 40+ easy ways to deal with stress,['Gregory Caremans - Brain Academy'],"Stress relief and burnout prevention. Don't let stress control your life. Beat anxiety and worries. Live, Laugh, Love.",personal-development,Beginner,"(16,800)",4.5,True,https://www.udemy.com/course/stress-management-40-easy-ways-to-deal-with-stress/
Customer Service: Soft Skills Fundamentals,['Samara Wenten'],How to keep your head when everyone else is losing theirs,personal-development,Beginner,"(16,297)",4.5,True,https://www.udemy.com/course/customer-service-soft-skills-fundamentals/
SELF-CONFIDENCE: 40-minute Confidence & Self Esteem Guide,"['Jimmy Naraine', 'Jimmy Naraine Support']","3h of NEW Content! Boost Your Confidence & Self Esteem, Handle Fear of Rejection,Learn Powerful Body Language,Feel Great",personal-development,All Levels,"(15,716)",4.5,True,https://www.udemy.com/course/self-confidence-40-minute-confidence-self-esteem-guide/
Goal Setting Mastery Course,['Himesh Trivedi'],"Define your WHY and align it to your goals & create a step by step blueprint to plan, implement & achieve your goals",personal-development,All Levels,"(15,117)",4.4,True,https://www.udemy.com/course/goal-setting-mastery-course/
Successful Negotiation: Master Your Negotiating Skills,['Chris Croft'],Master negotiation with these negotiating tips,personal-development,All Levels,"(15,006)",4.5,True,https://www.udemy.com/course/a-practical-guide-to-negotiating/
Critical Thinking Strategies For Better Decisions,['John Rampton'],Upgrade your problem solving skills and optimize business outcomes by applying the critical thinking process.,personal-development,All Levels,"(14,974)",4.3,True,https://www.udemy.com/course/critical-thinking-strategies/
Working Remotely: How To Succeed In The New Workplace,['Clare Lynch'],A how-to guide for remote workers - and those who work with them,personal-development,All Levels,"(14,231)",4.5,True,https://www.udemy.com/course/working-remotely/
