title,instructor,description,type,difficulty,num_reviews,rating,price,url
Photography Masterclass: A Complete Guide to Photography,"['Phil Ebiner', 'William Carnahan', 'Video School', 'Sam Shimizu-Jones']",The Best Online Professional Photography Class: How to Take Amazing Photos for Beginners & Advanced Photographers,photography-and-video,All Levels,"(58,076)",4.7,True,https://www.udemy.com/course/photography-masterclass-complete-guide-to-photography/
Adobe Premiere Pro CC Masterclass: Video Editing in Premiere,"['Phil Ebiner', 'Video School']","Learn Beginner-Advanced Adobe Premiere Pro Video Editing, Audio Editing, Color Grading, Motion Graphics, Green Screen+",photography-and-video,All Levels,"(30,240)",4.7,True,https://www.udemy.com/course/adobe-premiere-pro-video-editing/
iPhone Photography | Take Professional Photos On Your iPhone,['Dale McManus'],Your Online Guide to Taking Stunning iPhone Photography Like a Professional Digital Photographer,photography-and-video,Beginner,"(19,289)",4.6,True,https://www.udemy.com/course/iphonephotography/
"Video Production Bootcamp: Videography, Cinematography+","['Phil Ebiner', 'William Carnahan', 'Sam Shimizu-Jones', 'Video School']","Make better videos with the ultimate course on videography: video production, cinematography, editing & distribution.",photography-and-video,Beginner,"(8,722)",4.4,True,https://www.udemy.com/course/video-production-bootcamp/
Adobe Lightroom Classic CC & CC: Photo Editing Masterclass,"['Phil Ebiner', 'AgileWorks A Registered Scrum Trainer', 'Video School']","Your complete guide to editing beautiful photos in Adobe Lightroom Classic CC and Adobe Lightroom CC, both versions!",photography-and-video,All Levels,"(6,996)",4.3,True,https://www.udemy.com/course/adobe-lightroom/
Beginner Nikon Digital SLR (DSLR) Photography,['JP Teaches Photo .'],Learn how to use your camera intuitively. Learn through doing rather than memorizing.,photography-and-video,Beginner,"(6,259)",4.5,True,https://www.udemy.com/course/jp-nikon-dslr-for-beginners/
Adobe Photoshop Complete Mastery Course Beginner to Advanced,['Steve McDonald'],"Learn Photoshop quickly & easily. Master beginning Adobe Photoshop - from basics to advanced levels (PC, Mac, CS6, CC)",photography-and-video,Beginner,"(6,020)",4.6,True,https://www.udemy.com/course/photoshop-basics-for-beginners-learn-adobe-photoshop/
Video Editing in DaVinci Resolve 17: Beginner to Advanced,['Louay Zambarakji'],Learn Video Editing in DaVinci Resolve with Color Correction & Color Grading & Visual Effects in DaVinci Resolve 17,photography-and-video,All Levels,"(5,379)",4.6,True,https://www.udemy.com/course/davinci-resolve-15-course/
Affinity Photo: Solid Foundations,['Simon Foster'],The best selling beginners guide to Affinity Photo - complete with a 50 page PDF to aid your study!,photography-and-video,Beginner,"(4,824)",4.5,True,https://www.udemy.com/course/affinityphoto-solid-foundations/
Adobe Lightroom CC Photo Editing: Your Lightroom Masterclass,"['Phil Ebiner', 'Video School']",Learn how to make your photos look amazing with this Adobe Lightroom Classic CC and Lightroom CC photo editing course.,photography-and-video,All Levels,"(4,588)",4.6,True,https://www.udemy.com/course/adobe-lightroom-classic-cc-photo-editing-course/
Complete Filmmaker Guide: Become an Incredible Video Creator,['Julian Melanson'],Get 7 Years of Filmmaking Experience - Everything from Pre-Production to Editing - in 5 Hours,photography-and-video,Beginner,"(4,305)",4.3,True,https://www.udemy.com/course/incrediblevideocreator/
Your Road to Better Photography,['Corey Reese'],Photography Made Simple!,photography-and-video,Beginner,"(3,822)",4.3,True,https://www.udemy.com/course/your-road-to-better-photography/
Cinematography & Videography: Better Video with Any Camera,"['Phil Ebiner', 'William Carnahan', 'Video School']",Shoot better video by learning the video production techniques used by Hollywood filmmakers. And get paid to do it!,photography-and-video,All Levels,"(3,686)",4.3,True,https://www.udemy.com/course/online-cinematography-course-filmmaking-video-production-lighting/
Adobe Premiere Pro CC: Beginner Video Editing,['Brad Newton'],Learn video editing in Adobe Premiere Pro CC with zero experience.,photography-and-video,Beginner,"(3,395)",4.6,True,https://www.udemy.com/course/premiere-pro-with-brad-newton/
Mastering Architecture and Real Estate Photography,['Charlie Borland'],"Start a business photographing real estate photography jobs for architects, builders, and real estate agents",photography-and-video,All Levels,"(3,372)",4.5,True,https://www.udemy.com/course/mastering-architecture-and-real-estate-photography/
Digital Photography for Beginners with DSLR cameras,['Villiers Steyn'],Learn how to take stunning photographs by mastering both the technical and creative sides of digital photography.,photography-and-video,Beginner,"(3,288)",4.7,True,https://www.udemy.com/course/digital-photography-for-beginners-with-dslr-cameras/
